,zip temp,zip Wind Speed,zip Humidity,zip Pressure,zip Precipitation,Wheath Avag,Oil Avag,Month,Year
0,0.353095559467683,0.544788546613695,0.49378631286996516,0.6180687225438185,0.0,408.5,0.08634568085264963,1,1990
1,0.3829776090578572,0.5211278379461485,0.5309465345203978,0.6630607214839004,0.0,408.875,0.09443243646120593,1,1990
2,0.36316372549944015,0.5493507051941275,0.5634163551969823,0.5376791424430718,0.0,409.625,0.09607214727584407,1,1990
3,0.35518288408147436,0.4514434458880419,0.553635397647539,0.6110749923808957,0.0,409.0,0.09301632257583659,1,1990
4,0.3926899892156002,0.5131862857932427,0.5454736615971273,0.34921024686999197,0.0,410.625,0.08433330848923005,1,1990
5,0.4082080745525218,0.5802101437980257,0.5448420741289736,0.4202820496745341,0.0,407.625,0.08213460535141982,1,1990
6,0.41287829847026547,0.5670984709979022,0.5052795710113319,0.42379631177093297,0.0,405.625,0.08884251322948496,1,1990
7,0.4263704904455936,0.5908395691664211,0.42879171258143106,0.3934506666571238,0.0,405.625,0.09074308712827008,1,1990
8,0.3574031881827197,0.6224557443888443,0.3769166455307997,0.4971254156952499,0.0,404.25,0.0925318625624208,1,1990
9,0.4023043433584674,0.4027652832935113,0.5515153294304139,0.6417096782851818,0.0,400.375,0.08865618245509427,1,1990
10,0.40895544232752856,0.41770844566828097,0.570406355378914,0.6177408428443064,0.0,398.75,0.08720280241484682,1,1990
11,0.4171680480024322,0.48769679716058373,0.5896774993558702,0.5987605084856829,0.0,399.375,0.08537676082581797,1,1990
12,0.3941544364809013,0.5783994391922982,0.580321797355147,0.6385216656399318,0.0,399.75,0.08802265782216591,1,1990
13,0.33594936987418955,0.5086950050509844,0.513241752328003,0.6766535307145555,0.0,394.375,0.09387344413803382,1,1990
14,0.3821741159975102,0.48487647870884687,0.5362400073491008,0.4450549089035491,0.0,392.0,0.09268092718193337,1,1990
15,0.40253645509916974,0.5298460198401546,0.5040347746978077,0.4303364754182324,0.0,393.0,0.08023403145263472,1,1990
16,0.39936596968872157,0.5417736491148568,0.5164751592199659,0.4117540821113052,0.0,391.69,0.0796750391294626,1,1990
17,0.3611843828274775,0.5927757553039414,0.5061823690569579,0.407858324472363,0.0,387.375,0.08425877617947379,1,1990
18,0.3676606951809973,0.619675613938868,0.4436829106274811,0.38658233578119416,0.0,383.25,0.08612208392338078,1,1990
19,0.34014722916501,0.6090906056731448,0.4198892261810177,0.390109850864033,0.0,379.815,0.08858165014533798,1,1990
20,0.3501200865609098,0.5883225003447581,0.47066693777915525,0.38373493087426375,0.0,378.19,0.08798539166728776,1,1990
21,0.3728458865579442,0.4535121242408275,0.4975201021573968,0.5611181887848885,0.0,376.5,0.0869046731758217,1,1990
22,0.355622686486035,0.5609601933906787,0.5207326484549764,0.5118162695700291,0.0,375.44,0.08861891630021614,2,1990
23,0.36350004041233674,0.5157423998496108,0.5359111309280178,0.5135143486280492,0.0,376.5,0.09033315942461054,2,1990
24,0.35898535196879405,0.5340606310330129,0.5137700890735449,0.6200075604187006,0.0,382.25,0.08891704553924125,2,1990
25,0.39034201909441585,0.4889103599251286,0.5082524497596018,0.5664530420204329,0.0,382.5,0.08724006856972495,2,1990
26,0.3895281108472148,0.4649323655091639,0.5285870601573328,0.5282241764347614,0.0,383.625,0.08612208392338078,2,1990
27,0.4190791846076667,0.511388843842031,0.5362421155220045,0.4870057234315978,0.0,382.69,0.08522769620630541,2,1990
28,0.4391438583993617,0.5710201921249003,0.5065196337021797,0.3753953714677984,0.0,385.315,0.0828799284489826,2,1990
29,0.41769717321732586,0.5715868780317782,0.4191300335608455,0.4494300455903158,0.0,388.875,0.08295446075873893,2,1990
30,0.4240823195808952,0.6895053194947826,0.3989994725491582,0.4834629480797828,0.0,387.25,0.08369978385630167,2,1990
31,0.37761552428186507,0.6405027822566104,0.4517680543073754,0.579968336018618,0.0,386.25,0.08336438846239844,2,1990
32,0.3305188764039461,0.623496574572408,0.4821775710369353,0.4368242707609749,0.0,387.315,0.0874636654989938,2,1990
33,0.32753433734777104,0.6349789419560891,0.5000053287517789,0.380896576130444,0.0,385.315,0.08813445628680033,2,1990
34,0.3361276205134566,0.5375523727733941,0.365645349513995,0.7248361169152256,0.0,382.19,0.08511589774167101,2,1990
35,0.38586945812261875,0.5236358937368902,0.41716070275010836,0.692784827568434,0.0,382.75,0.08302899306849519,2,1990
36,0.42683018322610017,0.6476660943698898,0.5037777925165696,0.46064608855722855,0.0,387.44,0.08206007304166353,2,1990
37,0.4281461496946224,0.6422655672047186,0.5012074458026329,0.4434102080882622,0.0,391.625,0.08008496683312216,2,1990
38,0.3242412208735835,0.5734828768916899,0.36670076435753424,0.6477862251154042,0.0,395.25,0.08146381456361332,2,1990
39,0.3629711077599493,0.5267396243651038,0.4500742354797067,0.7704699671130243,0.0,395.44,0.0818364761123947,2,1990
40,0.39615420518622363,0.47836809356728244,0.4636723279287922,0.7518093502097782,0.0,393.625,0.08049489453678166,2,1990
41,0.4076538501965574,0.4988558811678985,0.419829835949806,0.7682653942579866,0.0,390.375,0.07963777297458449,3,1990
42,0.4293549879718257,0.5214977494741923,0.44573334601631404,0.5128155459769976,0.0,389.25,0.07851978832824029,3,1990
43,0.4223260581746866,0.530681042678146,0.46173313888296663,0.6769102931026835,0.0,386.69,0.07952597450995004,3,1990
44,0.41691925762533205,0.6309587376769692,0.5619687391192573,0.7138361696131379,0.0,382.75,0.07963777297458449,3,1990
45,0.39370154712437966,0.6367494904293273,0.4278507638757029,0.5822205087637631,0.0,380.625,0.0767310128940896,3,1990
